time,population,cumpopulation
0,1934,1934
4,4330,6264
5,3654,9918
6,2354,12272
7,12022,24294
8,11227,35521
9,20416,55937
10,21599,77536
11,31589,109125
12,20535,129660
13,20167,149827
14,34022,183849
15,27004,210853
16,20404,231257
17,28416,259673
18,26463,286136
19,26422,312558
20,36290,348848
21,36648,385496
22,34855,420351
23,30386,450737
24,38368,489105
25,50102,539207
26,47845,587052
27,49728,636780
28,43256,680036
29,39578,719614
30,47114,766728
31,39999,806727
32,41686,848413
33,38483,886896
34,39384,926280
35,34222,960502
36,30244,990746
37,19197,1009943
38,17905,1027848
39,19166,1047014
40,8454,1055468
41,9491,1064959
42,5978,1070937
43,8106,1079043
44,3986,1083029
45,6039,1089068
46,6219,1095287
47,3644,1098931
48,3828,1102759
49,3419,1106178
50,4254,1110432
51,2072,1112504
52,1560,1114064
53,1032,1115096
54,1378,1116474
55,774,1117248
56,834,1118082
57,1131,1119213
58,484,1119697
59,329,1120026
60,222,1120248
61,198,1120446
62,74,1120520
63,98,1120618
64,291,1120909
65,84,1120993
66,38,1121031
67,79,1121110
68,24,1121134
69,85,1121219
70,52,1121271
71,49,1121320
72,36,1121356
73,79,1121435
74,14,1121449
75,26,1121475
76,19,1121494
78,60,1121554
79,22,1121576
81,13,1121589
82,6,1121595
83,16,1121611
84,13,1121624
85,17,1121641
86,9,1121650
87,10,1121660
88,9,1121669
89,6,1121675
92,9,1121684
98,6,1121690
105,8,1121698
109,10,1121708
